target_date,expected_revenue,realized_revenue,net_revenue,soc_initial,soc_terminal,solve_time_s
2025-02-01,9644786.997334149,1522426.8430355694,1092271.8000000808,100.0,100.0,0.9070050716400146
2025-02-02,9413473.272896966,606420.5853195839,324150.1896985276,100.0,100.0,0.9422030448913574
2025-02-03,9517333.20952131,1506119.2625563338,1116565.206729209,100.0,100.0,0.826308012008667
2025-02-04,9426738.846821502,1582909.444659784,1196441.7090646648,100.0,100.0,0.8568358421325684
2025-02-05,9686828.271874366,1758897.5660152086,1328640.3865542896,100.0,100.0,0.8429157733917236
2025-02-06,9333837.061697768,1748099.035885751,1393893.5484038559,100.0,100.0,0.8498861789703369
2025-02-07,9385100.071416654,1435591.8184604575,1122815.7117486948,100.0,100.0,0.8954911231994629
2025-02-08,8981514.770938763,1169325.0698671476,811598.5035404761,100.0,100.0,0.8370280265808105
2025-02-09,9421632.509854183,527405.0286410204,370670.0128454329,100.0,100.0,0.9472761154174805
2025-02-10,9115986.089356575,1704412.4275650433,1346320.9027400005,100.0,100.0,0.8313517570495605
2025-02-11,8935785.08073155,2060633.5741323158,1700710.6410890846,100.0,100.0,0.9390959739685059
2025-02-12,8869219.920591213,1512050.8331355103,1154793.3991639763,100.0,100.0,0.8308699131011963
2025-02-13,9058793.785106098,1704850.2193849036,1274827.6563254637,100.0,100.0,0.8244771957397461
2025-02-14,9066387.289819209,1458514.7870233222,1100025.4890341603,100.0,100.0,0.8369770050048828
2025-02-15,9445626.75428251,1353812.169458934,1031361.3301567035,100.0,100.0,0.8305630683898926
2025-02-16,9453570.807515914,43019.06690758346,-110728.73682799267,100.0,100.0,0.8768010139465332
2025-02-17,9910917.483128626,1642736.820838606,1220815.3863934716,100.0,100.0,0.8249750137329102
2025-02-18,10433422.6732151,1853176.4148858134,1426160.7071843925,100.0,100.0,0.8343541622161865
2025-02-19,9974094.330285618,1793460.2279102497,1364107.799732238,100.0,100.0,0.811248779296875
2025-02-20,9875981.425631948,1959140.0722968478,1538283.34796284,100.0,100.0,0.8304471969604492
2025-02-21,9799655.102089858,2493574.0822377168,2058303.0785742824,100.0,100.0,0.8708779811859131
2025-02-22,9199405.779060237,2344483.6410928247,1910534.9856861772,100.0,100.0,0.8225233554840088
2025-02-23,8581793.74453053,1074036.3347643476,832441.4425572972,100.0,100.0,0.9038631916046143
2025-02-24,8319839.795129649,1845127.1957178228,1561332.3409111495,100.0,100.0,0.8716678619384766
2025-02-25,8000948.128853313,1382882.3449655785,1137331.6430330095,100.0,100.0,0.8428430557250977
2025-02-26,7995548.772515085,1303801.6392218,954617.2087080115,100.0,100.0,1.0303750038146973
2025-02-27,8685618.474900229,1129669.2528637205,988053.3420554406,100.0,100.0,0.884951114654541
2025-02-28,9051296.195188632,1598510.5973026692,1285956.8318101638,100.0,100.0,0.878673791885376
2025-03-01,9729739.203692893,1297151.5738884243,988901.708646324,100.0,100.0,0.8697512149810791
2025-03-02,10072803.478940064,709764.4980670852,472645.8422191196,100.0,100.0,0.8413171768188477
2025-03-03,10376282.768438866,1614843.5754560838,1185947.241054657,100.0,100.0,0.8549249172210693
2025-03-04,10210735.156669071,1397650.1978583606,969019.9240875304,100.0,100.0,0.8468940258026123
2025-03-05,10214389.178006135,1930008.6857030427,1572313.1658080835,100.0,100.0,0.8253016471862793
2025-03-06,9482606.980576903,1316040.0465990764,889688.8404630021,100.0,100.0,0.8207292556762695
2025-03-07,9298454.307858316,1664150.4197253862,1377525.094532374,100.0,100.0,0.9658370018005371
2025-03-08,10141433.87101042,1160327.2616455462,876542.4632969092,100.0,100.0,1.1814682483673096
2025-03-09,9740885.077725386,1291187.2918756383,1015879.7214002502,100.0,100.0,0.8509070873260498
2025-03-10,9270178.114638777,1053694.9157367586,738441.0449988805,100.0,100.0,0.8343198299407959
2025-03-11,8854699.13677823,1352911.3102054237,997365.1389470443,100.0,100.0,0.8080930709838867
2025-03-12,8899759.591160016,1342487.5636010878,1090386.8459548512,100.0,100.0,0.804833173751831
2025-03-13,8903959.777222725,1189769.015465825,966498.5340563293,100.0,100.0,0.8121011257171631
2025-03-14,9182112.003672473,674348.7275389223,476115.3672587804,100.0,100.0,0.8426759243011475
2025-03-15,8549471.768759154,802476.7802679018,697956.8383586623,100.0,100.0,0.9068410396575928
2025-03-16,9701471.139108911,791414.2884911551,612233.2216195824,100.0,100.0,1.0266058444976807
2025-03-17,10208966.152194351,727345.9157433987,550650.6066465727,100.0,100.0,0.9661931991577148
2025-03-18,10451555.59250091,877562.4014779141,599637.7351476115,100.0,100.0,0.8985090255737305
2025-03-19,10065689.0624767,1387740.1921862199,1112116.102476287,100.0,100.0,0.8332080841064453
2025-03-20,9559072.956835994,1796441.6735333367,1445238.4081239817,100.0,100.0,0.8151788711547852
2025-03-21,9198566.481021933,2104145.873986093,1857486.3312516487,100.0,100.0,0.8173251152038574
2025-03-22,8844889.428086964,1845702.0088299268,1720906.7867204505,100.0,100.0,0.825430154800415
2025-03-23,8639080.856987812,235729.3644671216,36462.89091764737,100.0,100.0,0.8597910404205322
2025-03-24,9696551.047150498,561540.235931956,454068.3165431688,100.0,100.0,0.8395628929138184
2025-03-25,10825514.514497869,982493.6176035918,705785.074897961,100.0,100.0,0.8365869522094727
2025-03-26,11222582.523607083,1027960.8163636371,782917.8204090165,100.0,100.0,0.8565051555633545
2025-03-27,11554278.850601647,1510376.608580017,1193391.1620919392,100.0,100.0,0.8435461521148682
2025-03-28,11949883.497069977,1283534.5671006355,999488.0104173713,100.0,100.0,0.8449680805206299
