target_date,gross_revenue,total_costs,net_revenue,iex_fee,scheduling,degradation,dsm
2025-02-01,1516979.390492821,430155.04303548846,1086824.3474573325,127420.92760000001,3146.7883484000004,196164.80000000002,103422.52708708847
2025-02-02,601422.9179432951,282270.39562105626,319152.52232223883,88288.7265,2794.5985385000004,135920.689775,55266.380807556256
2025-02-03,1507369.339381302,389554.05582712486,1117815.2835541773,115133.4686,3036.2012174,177248.2296,94136.15640972486
2025-02-04,1624819.95521311,386467.7355951193,1238352.2196179908,115133.4686,3036.2012174,177248.2296,91049.83617771926
2025-02-05,1711587.3886925883,430257.179460919,1281330.2092316693,127420.92760000001,3146.7883484000004,196164.80000000002,103524.66351251898
2025-02-06,1746604.3903742938,354205.487481895,1392398.9028923986,106310.20760000001,2956.7918684,163664.8,81273.688013495
2025-02-07,1432934.2037964768,312776.10671176267,1120158.097084714,93266.1406,2839.3952654,143583.4296,73087.14124636265
2025-02-08,1196357.9349370236,357734.6674264939,838623.2675105296,108045.6516,2972.4108644,166336.5197,80380.08526209387
2025-02-09,518799.4101099586,156735.0157955875,362064.3943143711,48177.6896,2433.5992064,74169.65985,31954.067139187493
2025-02-10,1855025.5323693904,358091.52482504287,1496934.0075443476,105553.5996,2949.9823964,162500.0,87087.94282864284
2025-02-11,2130333.226845922,359922.9330432314,1770410.2938026907,106310.20780000002,2956.7918702,163664.8,86991.13337303139
2025-02-12,1527300.6416661732,357257.433971534,1170043.2076946392,105553.5996,2949.9823964,162500.0,86253.85197513396
2025-02-13,1866756.9883754523,430022.5630594399,1436734.4253160125,127420.92760000001,3146.7883484000004,196164.80000000002,103290.0471110399
2025-02-14,1474065.730005705,358489.297989162,1115576.432016543,106310.2076,2956.7918683999997,163664.8,85557.49852076203
2025-02-15,1316800.9596198814,322450.8393022306,994350.1203176507,99222.39039999999,2893.0015136,152753.08945,67582.3579386306
2025-02-16,56590.11710916752,153747.80373557613,-97157.68662640861,48177.6896,2433.5992064,74169.65985,28966.85507917614
2025-02-17,1671236.7756540133,421921.43444513436,1249315.341208879,126664.3194,3139.9788746,195000.0,97117.13617053437
2025-02-18,2039240.1440862557,427015.70770142094,1612224.4363848348,127420.92760000001,3146.7883484000004,196164.80000000002,100283.19175302092
2025-02-19,1980746.360453378,429352.4281780118,1551393.932275366,127420.92760000001,3146.7883484000004,196164.80000000002,102619.91222961177
2025-02-20,1941643.7237489156,420856.72433400794,1520786.9994149078,126664.3194,3139.9788746,195000.0,96052.42605940797
2025-02-21,2546992.122551241,435271.0036634344,2111721.1188878063,128177.53579999998,3153.5978222,197329.6,106610.27004123443
2025-02-22,2347365.0943923537,433948.65540664765,1913416.438985706,128177.53579999998,3153.5978222,197329.6,105287.92178444768
2025-02-23,1100090.0228230832,241594.89220705046,858495.1306160328,74265.8236,2668.3924124,114332.40000000001,50328.27619465043
2025-02-24,1874672.320857109,283794.85480667313,1590877.4660504358,84442.87959999999,2759.9859164,130000.0,66591.98929027314
2025-02-25,1391515.3307708749,245550.70193256898,1145964.6288383058,72155.42069999999,2649.3987863,111083.4296,59662.45284626896
2025-02-26,1298226.6118041312,349184.4305137885,949042.1812903427,105553.5996,2949.9823964,162500.0,78180.84851738848
2025-02-27,1129669.2528637203,141615.91080827982,988053.3420554404,42221.43979999999,2379.9929582,65000.0,32014.478050079844
2025-02-28,1598510.5973026692,312553.7654925054,1285956.8318101638,95376.5436,2858.3888924000003,146832.40000000002,67486.43300010539
2025-03-01,1325422.7755417074,308249.86524210026,1017172.9102996071,93266.14039999999,2839.3952636,143583.4296,68560.89997850027
2025-03-02,719405.8338954642,237118.65584796557,482287.17804749863,74265.8236,2668.3924124,114332.40000000001,45852.039835565556
2025-03-03,1654635.7060398385,428896.3344014267,1225739.3716384117,126664.3194,3139.9788746,195000.0,104092.03612682672
2025-03-04,1376699.6569623314,428630.27377083024,948069.3831915011,127420.92760000001,3146.7883484000004,196164.80000000002,101897.75782243023
2025-03-05,1904418.552989666,357695.51989495923,1546723.0330947067,106310.2076,2956.7918683999997,163664.8,84763.72042655929
2025-03-06,1302064.5396949437,426351.20613607427,875713.3335588694,126664.3194,3139.9788746,195000.0,101546.90786147429
2025-03-07,1659061.5406123644,286625.32519301213,1372436.2154193523,84442.8796,2759.9859164,130000.0,69422.45967661211
2025-03-08,1281756.9717697497,283784.79834863695,997972.1734211127,84442.8794,2759.9859146,130000.0,66581.93303403695
2025-03-09,1291187.2918756383,275307.5704753881,1015879.7214002502,84442.87939999999,2759.9859146,130000.0,58104.705160788115
2025-03-10,1055119.2162842676,315253.8707378782,739865.3455463895,93266.14039999999,2839.3952636,143583.4296,75564.9054742782
2025-03-11,1309810.4002078308,355546.17125837953,954264.2289494514,105553.59939999998,2949.9823945999997,162500.0,84542.58946377951
2025-03-12,1383875.199572057,252100.71764623653,1131774.4819258205,74265.8236,2668.3924124,114332.40000000001,60834.101633836515
2025-03-13,1162759.3873284322,223270.48140949578,939488.9059189364,67178.0065,2604.6020585,103420.689775,50067.183075995796
2025-03-14,652194.3942736564,198233.3602801419,453961.0339935145,64088.7678,2576.7989102,98664.8,32902.99356994191
2025-03-15,806821.9836765723,104519.94190923957,702302.0417673327,32044.384000000002,2288.399456,49332.4,20854.758453239563
2025-03-16,768785.0172670977,179181.06687157278,589603.950395525,57000.9507,2513.0085563000002,87753.089775,31914.01784027278
2025-03-17,795592.4842802391,176695.30909682604,618897.1751834131,53155.103800000004,2478.3959342,81832.4,39229.40936262604
2025-03-18,754721.6015853852,277924.66633030266,476796.9352550825,83089.0846,2747.8017614,127915.82960000001,64171.95036890267
2025-03-19,1377493.9593693556,275624.08970993286,1101869.8696594227,83089.0846,2747.8017614,127915.82960000001,61871.37374853283
2025-03-20,1707254.293703157,351203.26540935494,1356051.028293802,105553.5994,2949.9823946,162500.0,80199.6836147549
2025-03-21,1942299.464441887,246659.5427344441,1695639.921707443,74265.8238,2668.3924142,114332.40000000001,55392.9265202441
2025-03-22,1836287.7744167591,124795.22210947622,1711492.552307283,38000.6338,2342.0057042,58502.05985,25950.522755276215
2025-03-23,235711.24267074585,199266.47354947423,36444.769121271616,64088.7678,2576.7989102,98664.8,33936.10683927423
2025-03-24,564062.471742014,107461.25618172542,456601.21556028863,32044.384000000002,2288.399456,49332.4,23796.072725725426
2025-03-25,852460.4402622653,276708.5427056307,575751.8975566346,84442.87939999999,2759.9859146,130000.0,59505.67739103071
2025-03-26,1158039.698272575,245042.9959546206,912996.7023179543,74265.8236,2668.3924124,114332.40000000001,53776.37994222056
2025-03-27,1523283.661610915,316985.44648807787,1206298.215122837,95376.5436,2858.3888924000003,146832.40000000002,71918.11399567782
2025-03-28,1340784.335724213,284046.55668326415,1056737.7790409487,83089.0846,2747.8017614,127915.82960000001,70293.84072186414
2025-03-29,2960532.690126491,326896.31426435115,2633636.3758621397,95376.5436,2858.3888924000003,146832.40000000002,81828.9817719511
2025-03-30,1074306.506898669,202334.892099306,871971.6147993631,64088.7678,2576.7989102,98664.8,37004.52538910597
2025-03-31,1644209.4176001542,273003.3099510259,1371206.1076491284,83089.0846,2747.8017614,127915.82960000001,59250.59398962588
2025-04-01,1834223.3090553316,245612.30269679293,1588611.0063585388,74265.8236,2668.3924124,114332.40000000001,54345.68668439293
2025-04-02,872222.7544588278,284337.6025811776,587885.1518776502,84442.8794,2759.9859146,130000.0,67134.73726657758
2025-04-03,1991564.4954479751,252254.06537826074,1739310.4300697143,76001.26749999999,2684.0114075,117004.119375,56564.66709576076
2025-04-05,806612.0489887712,208455.85137937224,598156.197609399,64088.7678,2576.7989102,98664.8,43125.484669172234
2025-04-06,991680.2038567484,200148.66212514893,791531.5417315995,64088.7678,2576.7989102,98664.8,34818.29541494892
2025-04-07,1925971.1554505625,212614.35211627043,1713356.803334292,64088.7678,2576.7989102,98664.8,47283.98540607043
2025-04-08,1503607.7626141128,250571.1259258279,1253036.636688285,74265.8236,2668.3924124,114332.40000000001,59304.509913427864
2025-04-09,2037627.7399676656,325823.73728067067,1711804.002686995,95376.5436,2858.3888924000003,146832.40000000002,80756.40478827065
2025-04-10,4371316.256934844,213195.26811835862,4158120.9888164853,64088.7678,2576.7989102,98664.8,47864.90140815862
2025-04-11,4472724.34883288,206373.70945551334,4266350.639377367,64088.7678,2576.7989102,98664.8,41043.34274531335
2025-04-12,982791.5865508048,200452.4175879017,782339.1689629031,64088.7678,2576.7989102,98664.8,35122.050877701695
2025-04-13,728900.4802762183,196307.37095689963,532593.1093193187,64088.7678,2576.7989102,98664.8,30977.00424669963
2025-04-14,2220850.004403285,203418.70824387693,2017431.2961594083,64088.7678,2576.7989102,98664.8,38088.34153367691
2025-04-15,1038938.269227418,208614.27709007644,830323.9921373415,64088.7678,2576.7989102,98664.8,43283.91037987644
2025-04-16,1057440.875789018,211131.5550583594,846309.3207306587,64088.7678,2576.7989102,98664.8,45801.18834815938
2025-04-17,2019664.9143349987,213976.19652501622,1805688.7178099826,64088.7678,2576.7989102,98664.8,48645.829814816214
2025-04-18,3251516.681637479,209408.39289194776,3042108.2887455313,64088.7678,2576.7989102,98664.8,44078.026181747744
2025-04-19,2158334.631954015,207158.67044022214,1951175.961513793,64088.7678,2576.7989102,98664.8,41828.30373002212
2025-04-20,2083321.359344892,208992.6278499125,1874328.7314949795,64088.7678,2576.7989102,98664.8,43662.261139712486
2025-04-21,2233867.413858516,289395.15498240123,1944472.2588761149,85199.4877,2766.7953893,131164.8,70264.07189310127
2025-04-22,1996254.0651696543,219919.54511311828,1776334.520056536,64088.7678,2576.7989102,98664.8,54589.178402918275
2025-04-23,1279081.34670512,219531.63714943372,1059549.7095556865,64088.7678,2576.7989102,98664.8,54201.27043923372
2025-04-24,1939493.392716773,286358.1965249707,1653135.1961918024,83089.0846,2747.8017614,127915.82960000001,72605.48056357072
