target_date,expected_revenue,realized_revenue,net_revenue
2025-02-01,1681561.6596745923,1771521.0336378722,1367904.9532149127
2025-02-02,267668.1596474356,620024.788409686,349461.0421401919
2025-02-03,637093.6926446434,1773288.40919439,1344731.850816971
2025-02-04,1011875.4467055356,1592295.3121148783,1166881.508992501
2025-02-05,1071093.7982289994,1757971.3534584905,1327840.1572191895
2025-02-06,792670.1615094211,1666123.115572068,1312400.0949162655
2025-02-07,666798.2542862241,1465289.6066240498,1113797.6269399985
2025-02-08,1174583.871076494,1238347.981534862,841841.7712665254
2025-02-09,292928.0883683774,590125.916470153,332148.85144664615
2025-02-10,656106.1147737374,1931743.0662338329,1574253.7836009292
2025-02-11,1362385.307945782,2125937.351717233,1766005.6753251818
2025-02-12,709243.4093640134,1545929.4836834264,1189340.9630489638
2025-02-13,838985.7270722173,1876268.6999930218,1446727.0558848593
2025-02-14,621681.3703582349,1468315.3498971234,1110014.4983360837
2025-02-15,1459452.891382085,1272480.9297442308,1010673.9095321825
2025-02-16,84521.59271687779,290832.1734794533,102203.12329651418
2025-02-17,505480.39259305265,1606775.536106316,1185288.2637126662
2025-02-18,1206644.744408795,2126328.8055490623,1699433.3601667695
2025-02-19,980537.1045451775,2076552.6410349675,1647340.7328048213
2025-02-20,793956.756583376,1858660.4222178175,1503985.5071581937
2025-02-21,998365.55580952,2700900.731977897,2265858.401736074
2025-02-22,1670363.992763152,2421819.705128584,1988227.9870216127
2025-02-23,373256.2399866883,1006108.6214065957,744975.6012451291
2025-02-24,664027.9955253417,1847119.008340113,1516636.1119264504
2025-02-25,563754.6855952074,1424113.1147976955,1139964.8178187902
2025-02-26,526101.6907223144,1317071.581056874,967478.7588385716
2025-02-27,587102.6779249562,1093255.1937612286,951639.2829529487
2025-02-28,380436.7963326557,1464783.8898960047,1118886.767936597
2025-03-01,905717.0965064757,1340377.7211483463,1004695.6398095503
2025-03-02,446258.148585174,801945.8206186792,476399.3056176964
2025-03-03,655771.2224166616,1594895.69540568,1167037.4823055796
