lambda,net_revenue_m,worst_day_k,avg_cvar_k,sharpe,avg_cycles
0.0,198.0734601710337,50.97821572174823,-70.27669796321679,37.390332904943826,1.203191144908217
0.01,197.99215284542507,53.661987182607106,304.63711876151046,37.463088456117525,1.2012242924606644
0.05,196.67764694743397,59.2278173256709,331.9678743615944,37.86423877112723,1.2003109365166087
0.1,195.25538306007468,63.62769503759137,362.3532304085314,37.97288058792002,1.2003109365166087
0.3,190.49574095989286,77.6176027315051,442.7841992596643,37.41164274912008,1.2000854514947557
0.5,187.08586553030986,138.724053957358,492.7484306066154,37.524622399455914,1.2002940040034966
