date,expected_revenue,realized_revenue,cvar_zeta,cvar_value,cycles
2025-02-01,1365203.976452877,1087058.0596701698,1050667.4,1034630.5761199999,1.8862
2025-02-02,804558.349282359,349738.6078068713,172398.88,37056.08040000001,1.4230500000000001
2025-02-03,1183286.0420603212,1268868.3353459379,790885.59,638879.5608,1.8862
2025-02-04,1358432.0739195945,1290860.6843144589,1063638.6,994994.9371000001,1.8862
2025-02-05,1468546.71134717,1346449.4033899477,1004095.2,894877.6901999998,1.8862
2025-02-06,1351736.6938901888,1411082.6837070158,524574.8,-102147.58700000003,1.5737
2025-02-07,1268661.6874560702,1187228.975694183,262481.89,48040.484600000025,1.875
2025-02-08,1092602.0052114981,757795.8842934989,563397.65,405044.62672,1.7043098999999997
2025-02-09,677891.9987811444,345826.6325503646,231456.19,137257.87953999997,0.9944297093750001
2025-02-10,1105889.9723294321,1397008.200714714,806750.4,684264.25488,1.5737
2025-02-11,1610719.4290673572,1688246.5951614438,1176245.6,1054036.5392,1.5993896125
2025-02-12,1211075.7218870765,1173509.3686287685,817897.95,703711.4262,1.5737
2025-02-13,1399528.1004647466,1439357.2983255286,1098682.4,963176.6799999998,1.8862
2025-02-14,1207560.1442951544,1157958.5860353145,692918.58,441938.72307999997,1.7043098999999997
2025-02-15,1428924.944940536,1011120.5401599212,248859.21,-138145.77400000003,1.5625
2025-02-16,526169.8926787201,-7593.446506441323,52555.595,-140464.13700000002,0.9375
2025-02-17,948066.1547067502,1172288.9830477394,651406.7,602925.8789999998,1.8862
2025-02-18,1481652.8939108956,1469107.887047564,1077066.0,995917.66008,1.8862
2025-02-19,1413843.8657539566,1536766.249953904,1020862.1,926187.9082,1.8974
2025-02-20,1320581.6060675122,1472001.5865372391,697907.96,479359.56059999997,1.8862
2025-02-21,1547184.7858421158,1919081.962127746,1196950.1,1066723.742,1.8974
2025-02-22,1514081.8554802171,1952898.6195467748,1128874.9,958783.5199999999,1.8974
2025-02-23,831661.6025930815,828277.8908761014,-101111.39,-204708.69577999998,1.09935
2025-02-24,1261161.0479008746,1578364.8809423463,278879.0,63032.3862,1.25
2025-02-25,1049639.574103725,1210432.6054969344,534363.58,380724.8439999999,1.50001980625
2025-02-26,1104634.1237218583,1048619.6269958785,350906.66,80778.99539999993,1.5625
2025-02-27,1044875.7502034042,991237.9185389794,10364.618,-186569.9032,0.9375
2025-02-28,843224.6709449132,1205996.7136660987,151160.34,38395.338999999985,1.5737
2025-03-01,836879.1534743703,991640.1796679,359647.89,186713.19799999997,1.5625
2025-03-02,611702.1887271905,533537.8190011025,337632.35,303981.8456,1.25
2025-03-03,1166914.5793873433,1245181.8670382367,899494.01,807991.442,1.8862
2025-03-04,1195172.2591385944,1026157.5795470347,910774.7,783906.2186,1.8862
2025-03-05,1694373.0865083646,1622884.145636229,791745.96,320687.0835999999,1.5737
2025-03-06,1414855.405202785,988088.5278084901,646001.38,419605.84206,1.875
2025-03-07,1363307.852651582,1418628.438655619,409318.29,-26037.016000000065,1.25
2025-03-08,1085144.4724705666,1134764.3882348347,390636.49,127748.37679999995,1.3806099
2025-03-09,833236.9938900269,1027034.206298909,444416.38,391848.8754,1.25
2025-03-10,837245.5247887538,787222.9446673153,534631.78,473719.42464000004,1.5625
2025-03-11,1045072.4306660664,963447.1182999759,700505.37,655216.4446000002,1.5625
2025-03-12,1090169.2589705754,1105916.5949588057,160875.6,-113420.88600000001,1.09935
2025-03-13,1303628.8197944982,969490.7901660762,157293.4,22258.512999999977,0.9944297093750001
2025-03-14,2048335.457408241,493141.362423455,922679.2,694577.1424,0.9487
2025-03-15,711043.944604933,667276.6783078365,133020.4,61048.69966,0.47435
2025-03-16,276277.09904434043,563616.6926275721,80799.878,37399.8806,0.9487
2025-03-17,524876.1270003215,587854.523591282,68151.893,14987.806139999999,0.9944297093750001
2025-03-18,981606.6468891812,596564.9617242357,487366.64,350337.3419,1.2299599
2025-03-19,1193682.645992695,1110204.7968981643,164139.26,-167995.07940000005,1.3806099
2025-03-20,1567205.6186038908,1380817.9802190654,506346.8,41292.18599999993,1.6931099
2025-03-21,1536287.734510257,1736110.1747526014,179846.49,-96281.06780000005,1.1250396125
2025-03-22,1732044.480846287,1693942.553038348,627804.53,366420.27940000006,0.56251980625
2025-03-23,918405.3631708582,114179.14673609915,262219.57,147571.95919999998,0.9487
2025-03-24,625467.0514730724,546706.971317057,-326121.84,-498489.3322,1.0681099
2025-03-25,727191.5282462321,537729.7330047253,232045.2,91712.09604600002,1.3806099000000125
2025-03-26,709542.5922652947,986006.8654968176,472877.42,430421.97364,1.09935
2025-03-27,1147194.1204446272,1087661.5581331907,532869.23,239579.27399999998,1.41185
2025-03-28,1127245.3004102246,923167.9445836595,454006.65,302395.588,1.2299599
2025-03-29,1374393.5256920706,2402088.7851850823,344919.03,77769.39000000003,1.41185
2025-03-30,1466605.9108188052,924866.8283412561,263186.16,201924.93599999996,0.9487
2025-03-31,1790143.7150036627,1473182.6049818923,680113.66,169720.79399999994,1.41185
2025-04-01,946243.7399374875,1762848.0245820133,-235621.89,-434983.74860000005,1.09935
2025-04-02,1093547.2102606879,782031.0056334964,-58175.628,-396289.73360000004,1.25
2025-04-03,1477808.6686403344,1702757.154036503,533106.23,19514.115599999997,1.2612
2025-04-05,1131058.4583549325,700336.9541176102,386541.81,256636.98360000004,0.9487
2025-04-06,1110200.239718744,840585.6391955799,424705.87,271837.77599999995,0.9487
2025-04-07,1277929.6995153495,1518002.4683504745,828627.24,683342.2582,1.09935
2025-04-08,1750254.9226069476,1179386.2545231476,1002044.3,858312.6927599999,1.09935
2025-04-09,1649956.4945805552,1781072.126130533,1066406.0,764516.66292,1.5112198062500002
2025-04-10,3117454.9223882924,4187980.9847847526,1425283.6,900239.3960000001,0.9487
2025-04-11,3883978.8864756213,4165998.0046990565,2194444.4,915255.9739999998,0.9487
2025-04-12,2623761.6486172364,786959.0893060601,700624.8,129843.30200000005,0.9487
2025-04-13,1172827.3557584453,451328.9775638493,524969.73,225625.43759999992,0.9487
2025-04-14,1194595.7979994444,1943621.130089177,42806.85,-225682.02540000004,0.9487
2025-04-15,1186313.2178569206,895815.5681673685,655383.97,485803.2276,0.9487
2025-04-16,947101.8032507276,876072.3789871972,569337.52,447667.6986,1.2299599
2025-04-17,1160686.9740856062,1818793.728575227,350243.13,179973.5864,0.9487
2025-04-18,2293420.656762214,3024556.694976136,1001234.4,92197.42800000001,0.9487
2025-04-19,2226709.7932458143,1973658.942388301,1029847.5,823544.0954,0.9487
2025-04-20,1382494.2211151307,1841390.9320679435,918224.79,858878.6748,0.9487
2025-04-21,1661513.0643179277,2063769.5397518976,945561.03,818771.7086,1.2612
2025-04-22,2980395.370236594,1833500.4973696542,1825038.3,1510213.226,0.9487
2025-04-23,1230232.3790634891,1100158.5888328876,714915.58,646192.732488,0.9487
2025-04-24,1770825.3843386213,2002028.1623815529,1075533.0,579797.496,1.2612
2025-04-25,1378960.3595615672,1772230.8277937432,591489.2,281504.578,1.51121980625
2025-04-26,1421352.2446910695,1600040.3852350381,888501.35,649848.3672,1.51121980625
2025-04-27,2035891.1713521206,3071328.55097812,339395.43,98822.09159999994,1.51121980625
2025-04-28,2332706.5456336574,2335622.00032817,778684.98,325691.746,0.9487
2025-04-29,1978547.7559779994,2052102.7440962484,532253.66,128925.00800000007,1.2299599
2025-04-30,1949831.8539360554,2386101.956300127,422526.4,-233299.99400000004,1.2299599
