lambda,net_revenue_m,worst_day_k,avg_cvar_k,sharpe,avg_cycles
0.0,198.16792148219992,-7.593446506441324,-71.72168112993006,37.13080930447419,1.2034096071459792
0.01,197.84228288104285,-7.593446506441324,298.0202964127831,37.15037402092863,1.2024962512019233
0.05,196.66651797504187,-7.593446506441324,325.03078126727274,36.98320399313659,1.2022777889860141
0.1,195.60602503106307,-7.593446506441324,353.28163929997896,36.96942694199419,1.2022777889510492
0.3,190.99145815413357,2.9080752092990005,433.4981042222657,36.804251370243946,1.200310936499126
0.5,186.8425219844884,29.222841318747772,484.42525954644765,36.43663798160996,1.1993975806250001
