date,expected_revenue,realized_revenue,cvar_zeta,cvar_value,cycles
2025-02-01,1364687.2582259143,1090050.6512355665,1045818.5,1037400.35316,1.8862
2025-02-02,793195.5047931422,350411.8139216112,214772.49,80467.58217999998,1.4230500000000001
2025-02-03,1154530.4045465144,1250879.8958606152,901431.44,839370.6885999999,1.8862
2025-02-04,1352505.7726843322,1271365.2360043277,1103167.0,1019843.9376599998,1.8862
2025-02-05,1452133.665471606,1337435.552558963,1107515.8,1059733.2777999998,1.8862
2025-02-06,1299849.7658111711,1327861.173117678,498849.85,263657.45332,1.5737
2025-02-07,1226883.971988199,1125371.9490143291,582430.76,382792.086,1.875
2025-02-08,1062241.018585422,842206.2367931796,711650.11,697248.09904,1.7043098999999997
2025-02-09,669474.2543473205,380282.99423949205,233044.67,175970.0492,0.9944297093750001
2025-02-10,1089169.627566999,1388948.9295566832,818388.69,746738.6761999999,1.5737
2025-02-11,1595069.7767195026,1540766.4516743238,1213585.1,1151347.7066200003,1.5993896125
2025-02-12,1184910.2982126395,1152541.6413731566,843944.71,808592.80824,1.5737
2025-02-13,1367331.861586869,1375878.0443855345,1108291.0,1030674.2764,1.8862
2025-02-14,1168416.270462691,1152943.1008050116,773291.47,655586.9478,1.7043098999999997
2025-02-15,1317081.7117796927,735707.5632190701,347119.68,194998.50599999996,1.5625
2025-02-16,512203.2197779727,29222.84131874777,54923.447,-101686.44180000002,0.9375
2025-02-17,941846.8633286033,1190910.3146481577,674793.75,638528.8404000001,1.8862
2025-02-18,1474384.9901786025,1425976.503370186,1098689.5,1041422.2234,1.8862
2025-02-19,1402949.0422484844,1475486.6512838688,1035747.4,960711.6986,1.8974
2025-02-20,1246959.0189335062,1410548.3204855402,942452.47,849643.3628,1.8862
2025-02-21,1542678.6093312926,1900337.6044900203,1233585.0,1103285.8538,1.8974
2025-02-22,1489909.9671929865,1797407.8050014314,1199562.5,1086746.5902,1.8974
2025-02-23,789703.8406438938,723991.8472340765,234217.36,178320.17668,1.09935
2025-02-24,1239281.318730721,1301308.7804502675,661801.93,451130.39920000004,1.25
2025-02-25,1021280.8715574944,1141433.5981165597,556333.45,510044.4816,1.50001980625
2025-02-26,1103371.0332888039,1050588.366631857,359348.48,97044.49339999995,1.5625
2025-02-27,997451.9822746596,896977.4493571579,179598.27,-36463.89520000001,0.9375
2025-02-28,793566.5443309108,1020717.1590669424,280062.64,175825.066,1.5737
2025-03-01,777786.0573696397,754715.3942097017,440263.69,360215.2388,1.5625
2025-03-02,609152.0156964181,522051.4529860012,341877.21,329603.8764,1.25
2025-03-03,1166538.0109860727,1247259.4105530595,897657.51,809169.9624,1.8862
2025-03-04,1183572.3872625406,1070865.255057426,897016.66,838856.1007000001,1.8862
2025-03-05,1661880.4594934497,1549565.5270964822,930098.86,437473.27,1.5737
2025-03-06,1375281.398537559,994348.1210104012,812571.6,673138.395,1.875
2025-03-07,1247127.6197639345,1290335.862139838,476621.24,353399.24639999995,1.25
2025-03-08,999711.6449503882,916426.0279673056,718417.81,681329.7570800001,1.25
2025-03-09,820051.1311333171,904126.6512361721,478395.93,443775.1564,1.25
2025-03-10,826771.8112997934,714590.9103023099,582857.1,545861.9743999998,1.5625
2025-03-11,1038418.9138869251,967258.3085242138,760718.23,717234.7089999999,1.5625
2025-03-12,963378.0695158057,1067917.997397627,395129.77,255115.7556,1.09935
2025-03-13,1283014.4694067293,992260.3943927166,271773.27,124139.11080000002,0.9944297093750001
2025-03-14,2040968.2024767674,479717.9215850241,943756.34,720171.2984600001,0.9487
2025-03-15,707400.0248458154,625868.7201306346,161733.73,80696.5854,0.47435
2025-03-16,261266.75914792868,522885.89436400146,142118.73,114559.67801999999,0.9487
2025-03-17,487622.1412856196,472248.2436173029,220875.78,190311.2298,0.9944297093750001
2025-03-18,950004.6174310358,535783.5185835438,562507.8,489845.3482,1.2299599
2025-03-19,1102882.7166625254,916476.678074603,384234.16,237891.05379999997,1.3806099
2025-03-20,1487634.662854983,1350507.3283638998,586911.3,277844.5046,1.6931099
