date,expected_revenue,realized_revenue,cvar_zeta,cvar_value,cycles
2025-02-01,1365203.976452877,1087058.0596701698,1050667.4,1034630.5761199999,1.8862
2025-02-02,804558.349282359,349738.6078068713,172398.88,37056.08040000001,1.4230500000000001
2025-02-03,1175668.5031579724,1288992.2290314673,839964.56,787743.32668,1.8862
2025-02-04,1357740.874456947,1274110.7847040815,1089394.6,1000557.5812000001,1.8862
2025-02-05,1459107.2804616408,1359739.9056623199,1109286.7,1026232.1008600001,1.8862
2025-02-06,1344666.8431194068,1400271.3830722624,580174.41,8293.535999999964,1.5737
2025-02-07,1263168.879484118,1165907.3831505477,388890.11,157186.51506,1.875
2025-02-08,1085532.2042471266,795767.3146965416,572742.2,531685.6782,1.7043098999999997
2025-02-09,677897.3156804673,345826.6325503646,231456.19,137364.21753999998,0.9944297093750001
2025-02-10,1104655.251988192,1387610.0441246098,807744.56,698199.19978,1.5737
2025-02-11,1610445.0625872603,1685759.2010312795,1182530.0,1057367.4533999998,1.5993896125
2025-02-12,1211044.1286442047,1173422.2933765454,818061.99,704290.8968,1.5737
2025-02-13,1399528.1004647466,1439357.2983255286,1098682.4,963176.6799999998,1.8862
2025-02-14,1203843.3365451742,1153932.3961328901,725012.53,495433.36179999996,1.7043098999999997
2025-02-15,1428906.888412107,1012642.7957056172,247029.88,-137705.17600000004,1.5625
2025-02-16,526169.8926787201,-7593.446506441323,52555.595,-140464.13700000002,0.9375
2025-02-17,947725.2789626069,1172097.771286241,646876.89,609245.0541999999,1.8862
2025-02-18,1481652.8939108956,1469107.887047564,1077066.0,995917.66008,1.8862
2025-02-19,1413843.8657539566,1536766.249953904,1020862.1,926187.9082,1.8974
2025-02-20,1309488.6261454483,1476970.4396648188,798754.08,665761.025,1.8862
2025-02-21,1545924.9536097257,1917818.329811241,1192385.8,1088992.7704000003,1.8974
2025-02-22,1511900.1980100512,1906967.9360866954,1154546.4,1006821.016072,1.8974
2025-02-23,822128.8321038248,743445.5452391102,122541.34,24158.72559999999,1.09935
2025-02-24,1254218.541127917,1348234.66175856,599523.4,335548.93700000003,1.25
2025-02-25,1048178.0792349703,1201196.4456721733,564920.93,408694.45468,1.50001980625
2025-02-26,1103371.0332888039,1050588.366631857,359348.48,97044.49339999995,1.5625
2025-02-27,1043694.7037942839,986060.515765173,49166.691,-162284.65060000002,0.9375
2025-02-28,843084.949342479,1198449.0903174723,158402.93,40748.65867999999,1.5737
2025-03-01,836601.5556225771,992852.82053516,356325.17,192495.48619999998,1.5625
2025-03-02,611180.9801603861,538020.1933036245,338559.35,325280.8702959999,1.25
2025-03-03,1166914.5793873433,1245181.8670382367,899494.01,807991.442,1.8862
2025-03-04,1195172.2591385944,1026157.5795470347,910774.7,783906.2186,1.8862
2025-03-05,1694373.0865083646,1622884.145636229,791745.96,320687.0835999999,1.5737
2025-03-06,1409713.313952388,1007452.5298510414,689736.31,505851.4188,1.875
2025-03-07,1360245.148296341,1448777.2900219571,454101.36,35236.01799999997,1.25
2025-03-08,1072877.1499571218,1030826.207545883,419727.89,302816.27183900005,1.3806099
2025-03-09,832125.856071245,1019284.156853516,456136.2,403508.4368,1.25
2025-03-10,835812.8366115978,754004.2226816647,559401.17,512284.52800000005,1.5625
2025-03-11,1042722.138054525,960028.2854438626,722518.43,700999.91804,1.5625
2025-03-12,1090172.3655599682,1105916.5949588057,160875.6,-113358.75400000002,1.09935
2025-03-13,1302588.7615417268,976261.0754324108,171899.16,41061.79080000002,0.9944297093750001
2025-03-14,2048335.457408241,493141.362423455,922679.2,694577.1424,0.9487
2025-03-15,710404.0412767718,652458.7695105096,147203.18,71578.62447999998,0.47435
2025-03-16,274800.3507344585,536524.430988342,92509.978,68192.74187999999,0.9487
2025-03-17,524876.1270003215,587854.523591282,68151.893,14987.806139999999,0.9944297093750001
2025-03-18,981610.9555559362,596564.9617242357,487366.64,350423.5159,1.2299599
2025-03-19,1190031.9789517778,1110204.7968981643,206925.03,-9342.583400000021,1.3806099
2025-03-20,1567205.6186038908,1380817.9802190654,506346.8,41292.18599999993,1.6931099
2025-03-21,1536287.734510257,1736110.1747526014,179846.49,-96281.06780000005,1.1250396125
2025-03-22,1731672.0428509095,1698684.077377035,628945.39,370772.25219999993,0.56251980625
2025-03-23,918405.3631708582,114179.14673609915,262219.57,147571.95919999998,0.9487
2025-03-24,625048.4486162389,543904.5352716098,-332235.36,-490853.34380000003,1.0681099
2025-03-25,724777.6850652657,544510.5716808289,293557.73,170203.76040000003,1.3806099000000125
2025-03-26,709542.5922652947,986006.8654968176,472877.42,430421.97364,1.09935
2025-03-27,1144881.071106788,989358.5760276095,537556.51,281466.302,1.41185
2025-03-28,1114008.232172275,1037260.5125722764,588824.25,472478.15800000005,1.2299599
2025-03-29,1367792.1197416037,2286308.0528984847,441515.85,207530.40159999992,1.41185
2025-03-30,1466605.9108188052,924866.8283412561,263186.16,201924.93599999996,0.9487
2025-03-31,1789718.6676727124,1452955.8665527331,688679.42,178427.32320000004,1.41185
2025-04-01,938917.4324865647,1585235.7176558457,-8200.4997,-186657.78378000003,1.09935
2025-04-02,1066936.932844368,820929.8519736384,253496.03,163510.21,1.25
2025-04-03,1474874.730988359,1783132.877061129,558992.26,74606.45700000001,1.2299599
2025-04-05,1129230.1819290954,730369.4042167402,360786.08,299207.26509999996,0.9487
2025-04-06,1109885.0734688365,837043.4073862856,419707.25,274503.7676,0.9487
2025-04-07,1277175.8493562755,1510759.7545581937,821683.46,688651.7866,1.09935
2025-04-08,1749613.0507686997,1106422.3142479344,1059220.2,863350.4097999998,1.09935
2025-04-09,1649850.9127125794,1781072.126130533,1066164.4,766282.9293999998,1.5112198062500002
2025-04-10,3117454.9223882924,4187980.9847847526,1425283.6,900239.3960000001,0.9487
2025-04-11,3883978.8864756213,4165998.0046990565,2194444.4,915255.9739999998,0.9487
2025-04-12,2623761.6486172364,786959.0893060601,700624.8,129843.30200000005,0.9487
2025-04-13,1172827.3557584453,451328.9775638493,524969.73,225625.43759999992,0.9487
2025-04-14,1194595.7979994444,1943621.130089177,42806.85,-225682.02540000004,0.9487
2025-04-15,1186313.2178569206,895815.5681673685,655383.97,485803.2276,0.9487
2025-04-16,943874.7982081969,876108.3975994374,603118.18,513776.11919999996,1.2299599
2025-04-17,1156385.7823591065,1769436.969327591,373650.38,263524.196,0.9487
2025-04-18,2293420.656762214,3024556.694976136,1001234.4,92197.42800000001,0.9487
2025-04-19,2226526.0063310834,1970808.633857201,1027878.3,826013.0664,0.9487
2025-04-20,1380967.56115661,1738768.8251471703,937700.13,889094.9382000001,0.9487
2025-04-21,1661513.0643179277,2063769.5397518976,945561.03,818771.7086,1.2612
2025-04-22,2980395.370236594,1833500.4973696542,1825038.3,1510213.226,0.9487
2025-04-23,1230114.6217508602,1094926.8179482964,718310.71,648917.42962,0.9487
2025-04-24,1756912.1598650024,2135959.122466254,978200.16,792516.6499999999,1.2612
2025-04-25,1374596.446363514,1769405.8170071987,658017.86,497347.648,1.51121980625
2025-04-26,1421312.2783147693,1607186.758899216,881332.01,656346.935,1.51121980625
2025-04-27,2030299.4712424085,3111319.6968931127,402415.96,233454.848,1.51121980625
2025-04-28,2332088.2742747157,2335617.467705126,752685.86,357377.9799999999,0.9487
2025-04-29,1965582.8283039716,2052102.7440962484,573111.84,277197.9,1.2299599
2025-04-30,1923797.7288536788,2189867.002614701,342048.77,85107.98620000004,1.2299599
