date,expected_revenue,realized_revenue,cvar_zeta,cvar_value,cycles
2025-02-01,1444302.485121961,1091906.5204878594,1105847.8,1012022.8264,1.8862
2025-02-02,724779.4694289078,389169.37938043394,200164.16,43598.22206000001,1.4230500000000001
2025-02-03,1178369.5226890943,1299757.0017160429,799892.13,711002.3412,1.8862
2025-02-04,1471888.7445449617,1319184.475187578,1158005.9,1069892.1208,1.8862
2025-02-05,1578939.564486955,1432244.982298482,1187973.9,1060072.3926999997,1.8862
2025-02-06,1278522.3308500957,1319931.677999962,608576.27,90787.53399999993,1.5737
2025-02-07,1157657.8274150412,1138946.596357204,478927.52,204559.39160000003,1.875
2025-02-08,1058972.182365129,932221.491796632,672951.39,566649.5372000001,1.7043098999999997
2025-02-09,670915.715334882,415111.0310045189,287592.42,180360.99619999994,0.9944297093750001
2025-02-10,1164068.870237515,1490783.3398276856,848216.3,757902.9746000001,1.5737
2025-02-11,1767634.1073966995,1766818.363398974,1344995.4,1269662.4729999998,1.5993896125
2025-02-12,1227205.8508577591,1202285.0444633546,761637.5,706884.21686,1.5737
2025-02-13,1418796.8834746385,1440695.7794955585,1040240.7,950098.9639999999,1.8862
2025-02-14,1190444.1212661352,1182311.5803627386,748234.63,606372.974,1.7043098999999997
2025-02-15,1339628.8214645197,999937.0296663553,180449.07,-230118.27520000003,1.5625
2025-02-16,478173.2628658868,63627.69503759137,-28496.061,-178243.86068,0.9375
2025-02-17,964561.5590893208,1214905.6150144914,688270.21,602185.681,1.8862
2025-02-18,1631744.3314896661,1575777.9464413298,1190670.3,1075788.1022,1.8862
2025-02-19,1514994.5250110482,1598055.1522949783,1108626.8,1013237.6783999999,1.8974
2025-02-20,1307609.7291979874,1502735.5293190423,904276.09,823107.52166,1.8862
2025-02-21,1544562.0068089287,1945129.782906518,1206218.6,1158962.8644,1.8974
2025-02-22,1603160.3705619154,1956594.1960015562,1164172.0,1102397.1392,1.8974
2025-02-23,780533.9085755019,800535.4424504278,130517.95,89556.34280000001,1.09935
2025-02-24,1152186.6421110725,1449257.4124735568,495007.29,248572.16019999998,1.25
2025-02-25,1067175.2391148177,1178096.2117797856,474811.42,369420.984,1.50001980625
2025-02-26,1065765.319267562,1022182.4478605031,306837.31,43126.5932,1.5625
2025-02-27,1003304.1527567084,1006009.8058003407,-15773.006,-133141.26476000002,0.9375
2025-02-28,811230.923857108,1048278.506065687,154420.92,18756.772360000006,1.5737
2025-03-01,818168.8257846521,1004809.1715129252,388196.34,255468.37480000005,1.5625
2025-03-02,566764.6736622697,515660.70951182157,281710.79,264521.16267999995,1.25
2025-03-03,1175808.8914173136,1239170.3748070707,917193.48,826410.2999999999,1.8862
2025-03-04,1165543.0054662435,1014237.5487783445,854375.55,831676.1337000001,1.8862
2025-03-05,1540759.0220089399,1571898.6535372247,797291.01,318727.51399999997,1.5737
2025-03-06,1321329.752845906,995909.7350391502,760124.71,666704.958,1.875
2025-03-07,1303869.4724633214,1422570.3612091963,370976.37,117948.32159999997,1.25
2025-03-08,1101426.4076002233,973479.2238646515,688603.14,504247.78819999995,1.3806099
2025-03-09,932530.5317754697,1066596.3119973978,610937.41,485442.04800000007,1.25
2025-03-10,947032.3047794102,731837.6691691639,640086.84,618797.9720000001,1.5625
2025-03-11,1143810.3574225605,999170.7490054424,730492.96,676250.3243999999,1.5625
2025-03-12,1078450.8683639537,1131682.3836488968,139811.46,-40000.38720000001,1.09935
2025-03-13,1216841.9509172337,944053.6640818621,157186.87,-63940.66320000002,0.9944297093750001
2025-03-14,1869197.6978237196,475401.0281514606,874712.82,541487.014,0.9487
2025-03-15,598007.512022377,552839.4379033569,135492.1,24737.544199999986,0.47435
2025-03-16,408747.49392119265,561052.9429052562,116548.16,37143.215,0.9487
2025-03-17,537590.4795141562,517281.20781900076,206903.1,128312.95480000004,0.9944297093750001
2025-03-18,997736.930119771,551281.6609830747,591963.41,460686.80340000003,1.2299599
2025-03-19,1151553.0800738202,1159366.6509900969,228760.62,67687.71795999998,1.3806099
2025-03-20,1533367.8037911076,1437138.4239746074,612154.04,197845.61599999995,1.6931099
2025-03-21,1428090.6668226642,1677709.7294374323,111189.26,-284531.9648,1.1250396125
2025-03-22,1593598.1108649422,1666063.8262067009,479358.89,162961.28059999997,0.56251980625
2025-03-23,839196.5624847857,239512.48426819325,162565.85,65514.696200000006,0.9487
2025-03-24,616299.0815855756,456364.05721122294,-140955.65,-218870.32644,1.0681099
2025-03-25,802006.1293851275,594400.0901239249,283405.28,38738.254400000034,1.3806099
2025-03-26,726462.7250455823,958762.7850202959,415660.49,332455.48579999997,1.09935
2025-03-27,1258700.8296230892,1147786.3723150068,418265.66,255219.56693999993,1.41185
2025-03-28,1195420.4795615242,978817.1952503587,572734.54,488575.07314000005,1.2299599
2025-03-29,1284626.9292697832,2249229.38297753,562546.56,371013.84388000006,1.41185
2025-03-30,1352924.225042544,900317.3357320683,222637.21,103291.36339999996,0.9487
2025-03-31,1689378.6876275537,1447603.696399008,552469.25,4095.3928000000233,1.41185
2025-04-01,878072.7959726421,1263400.9307689017,-21833.603,-213676.98900000003,1.09935
2025-04-02,1014527.2185032385,843185.9076912284,167563.71,118205.7216,1.25
2025-04-03,1464845.4436180813,1857574.5186652471,576369.35,94308.09969999999,1.2299599
