date,expected_revenue,realized_revenue,cvar_zeta,cvar_value,cycles
2025-02-01,1444281.6144890725,1091606.3876986604,1107740.7,1011280.4623999997,1.8862
2025-02-02,725742.0262854084,367897.24108890595,188449.45,30244.12420000001,1.4230500000000001
2025-02-03,1180388.5989994288,1299757.0017160429,782449.01,683921.66096,1.8862
2025-02-04,1471888.7445449617,1319184.475187578,1158005.9,1069892.1208,1.8862
2025-02-05,1580051.7351208082,1451628.2499647436,1160578.5,1048341.6876000001,1.8862
2025-02-06,1280693.092324414,1327904.6397686785,603324.14,53713.77799999999,1.5737
2025-02-07,1173964.3929229905,1160534.1560152355,197031.1,-18540.26999999999,1.875
2025-02-08,1060017.4240320683,925417.3663979323,666027.21,553861.1994,1.7043098999999997
2025-02-09,671375.3376849018,411982.25298652373,280023.41,176283.63499999995,0.9944297093750001
2025-02-10,1164187.9048888574,1490958.746431942,847898.39,756094.1274,1.5737
2025-02-11,1767634.1073966995,1766818.363398974,1344995.4,1269662.4729999998,1.5993896125
2025-02-12,1227372.1600276113,1211281.5105779588,766033.87,703788.5588000001,1.5737
2025-02-13,1418796.8834746385,1440695.7794955585,1040240.7,950098.9639999999,1.8862
2025-02-14,1191190.0104638445,1179878.47548735,745038.1,594832.6024,1.7043098999999997
2025-02-15,1339628.8214645197,999937.0296663553,180449.07,-230118.27520000003,1.5625
2025-02-16,478707.3115796924,59227.8173256709,-38971.997,-183377.20920000004,0.9375
2025-02-17,964875.5438496139,1214787.4741195433,689797.24,597319.8296000002,1.8862
2025-02-18,1631744.3314896657,1575777.9464413298,1190670.3,1075788.1022,1.8862
2025-02-19,1515129.3565677146,1599050.5088085036,1105889.6,1011896.3490000002,1.8974
2025-02-20,1307955.062394154,1501832.4743047939,901662.51,820105.54116,1.8862
2025-02-21,1552567.202836139,2123269.8617166625,1151196.3,1051019.2182000002,1.8974
2025-02-22,1604757.5841968802,1966023.8991230633,1156339.5,1079963.2538,1.8974
2025-02-23,781268.7962233172,787952.0139674129,128487.11,77140.50020000001,1.09935
2025-02-24,1160536.0010521398,1517142.4662742068,344507.64,111738.55600000006,1.25
2025-02-25,1067535.617259464,1178195.7315686948,495516.57,365151.2698,1.50001980625
2025-02-26,1065765.319267562,1022182.4478605031,306837.31,43126.5932,1.5625
2025-02-27,1003304.1527567084,1006009.8058003407,-15773.006,-133141.26476000002,0.9375
2025-02-28,811230.923857108,1048278.506065687,154420.92,18756.772360000006,1.5737
2025-03-01,818168.8257846521,1004809.1715129252,388196.34,255468.37480000005,1.5625
